route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
5,2026_01_12-DX-MVS-Weekday-001,1842085,"OAK Airport / SF / Daly City",1,,005B_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842082,"Berryessa/North San Jose",0,,006B_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842083,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842035,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842084,"OAK Airport / SF / Daly City",1,,005B_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842081,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842086,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842036,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842087,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842080,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842088,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842037,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842089,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842038,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842090,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842039,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842091,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842040,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842092,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842041,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842093,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842042,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842094,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842043,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842095,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842044,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842096,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
